geometry,guidance,nFan,seed,status,leaderLeader,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,totalCollisions,minLeaderGap,minFanCapGap,minFanFanGap,redRMS,goldRMS,redPeak,goldPeak,stopsRed,stopsGold,steps,firstCollisionRelCPA,runtimeSec
headon,waypoint,4,1111,ok,0,0,0,0,0,0,3.5665,3.8276,3.7343,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.36
headon,waypoint,4,1234,ok,0,0,0,0,0,0,3.5665,1.736,1.7156,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.38
headon,waypoint,4,1337,ok,0,0,0,0,0,0,3.5665,2.7642,1.4304,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.39
headon,waypoint,6,8,ok,0,0,0,1,0,1,3.5665,3.7629,0.4416,1.551,1.0686,6.3101,4.5332,0,0,20370,22.32,7.54
headon,waypoint,6,11,ok,0,0,0,0,0,0,3.5665,3.8544,3.2395,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.57
headon,waypoint,6,23,ok,0,0,0,0,1,1,3.5665,2.8777,0.6754,1.551,1.0686,6.3101,4.5332,0,0,20370,9.21,7.54
headon,waypoint,6,42,ok,0,0,0,0,1,1,3.5665,3.8491,0.3724,1.551,1.0686,6.3101,4.5332,0,0,20370,12.3,7.58
headon,waypoint,6,77,ok,0,0,0,0,0,0,3.5665,2.2508,3.6411,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.62
headon,waypoint,6,101,ok,0,0,0,0,0,0,3.5665,1.0162,1.3965,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.65
headon,waypoint,6,144,ok,0,0,0,0,0,0,3.5665,1.0845,1.3714,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.64
headon,waypoint,6,200,ok,0,0,0,0,1,1,3.5665,4.2486,0.9575,1.551,1.0686,6.3101,4.5332,0,0,20370,11.12,7.63
headon,waypoint,6,256,ok,0,0,0,0,0,0,3.5665,3.0753,3.8967,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.69
headon,waypoint,6,314,ok,0,0,0,0,0,0,3.5665,4.0738,2.5509,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.57
headon,waypoint,6,400,ok,0,0,0,0,0,0,3.5665,1.873,1.7882,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.53
headon,waypoint,6,512,ok,0,0,0,0,0,0,3.5665,1.0489,1.7724,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.61
headon,waypoint,6,613,ok,0,0,0,0,0,0,3.5665,1.931,1.3784,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.61
headon,waypoint,6,700,ok,0,0,0,0,0,0,3.5665,1.5153,1.3876,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.55
headon,waypoint,6,808,ok,0,0,1,0,0,1,3.5665,0.3391,1.8094,1.551,1.0686,6.3101,4.5332,0,0,20370,-4.63,7.54
headon,waypoint,6,900,ok,0,0,2,0,0,2,3.5665,0.2864,2.0549,1.551,1.0686,6.3101,4.5332,0,0,20370,8.27,7.54
headon,waypoint,6,1024,ok,0,0,1,0,0,1,3.5665,0.1603,1.1974,1.551,1.0686,6.3101,4.5332,0,0,20370,6.9,7.6
headon,waypoint,6,1111,ok,0,0,0,1,1,2,3.5665,1.4286,0.1267,1.551,1.0686,6.3101,4.5332,0,0,20370,16.42,7.53
headon,waypoint,6,1234,ok,0,0,1,0,0,1,3.5665,0.7552,2.4568,1.551,1.0686,6.3101,4.5332,0,0,20370,17.08,7.56
headon,waypoint,6,1337,ok,0,0,1,0,0,1,3.5665,0.1528,1.3723,1.551,1.0686,6.3101,4.5332,0,0,20370,10.44,7.54
headon,waypoint,8,8,ok,0,0,0,0,1,1,3.5665,1.8635,0.9404,1.551,1.0686,6.3101,4.5332,0,0,20370,5.62,7.64
headon,waypoint,8,11,ok,0,0,1,1,0,2,3.5665,0.7715,0.5593,1.551,1.0686,6.3101,4.5332,0,0,20370,5.16,7.68
headon,waypoint,8,23,ok,0,0,0,0,1,1,3.5665,4.1172,0.4773,1.551,1.0686,6.3101,4.5332,0,0,20370,60.2,7.66
headon,waypoint,8,42,ok,0,0,0,0,1,1,3.5665,3.1553,0.3235,1.551,1.0686,6.3101,4.5332,0,0,20370,28.82,7.67
headon,waypoint,8,77,ok,0,0,0,0,2,2,3.5665,3.8507,0.0416,1.551,1.0686,6.3101,4.5332,0,0,20370,31.34,7.73
headon,waypoint,8,101,ok,0,0,0,0,0,0,3.5665,2.3323,1.515,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.62
headon,waypoint,8,144,ok,0,0,0,0,0,0,3.5665,2.0205,1.6422,1.551,1.0686,6.3101,4.5332,0,0,20370,,7.81
headon,waypoint,8,200,ok,0,0,2,0,0,2,3.5665,0.0893,1.463,1.551,1.0686,6.3101,4.5332,0,0,20370,6.7,7.67
headon,waypoint,8,256,ok,0,0,0,0,1,1,3.5665,1.4489,0.3912,1.551,1.0686,6.3101,4.5332,0,0,20370,-8.63,8.18
headon,waypoint,8,314,ok,0,0,1,0,3,4,3.5665,0.5173,0.1022,1.551,1.0686,6.3101,4.5332,0,0,20370,-0.12,8.89
headon,waypoint,8,400,ok,0,0,0,1,0,1,3.5665,3.3469,0.3016,1.551,1.0686,6.3101,4.5332,0,0,20370,10.99,9.29
headon,waypoint,8,512,ok,0,0,1,0,0,1,3.5665,0.5157,1.2251,1.551,1.0686,6.3101,4.5332,0,0,20370,7.21,7.81
headon,waypoint,8,613,ok,0,0,1,0,1,2,3.5665,0.9262,0.6805,1.551,1.0686,6.3101,4.5332,0,0,20370,6.13,7.76
headon,waypoint,8,700,ok,0,0,1,0,1,2,3.5665,0.8469,0.5258,1.551,1.0686,6.3101,4.5332,0,0,20370,5.61,7.76
headon,waypoint,8,808,ok,0,0,1,2,1,4,3.5665,0.3684,0.266,1.551,1.0686,6.3101,4.5332,0,0,20370,-51.53,7.72
headon,waypoint,8,900,ok,0,0,0,0,1,1,3.5665,3.9563,0.054,1.551,1.0686,6.3101,4.5332,0,0,20370,8.03,7.73
headon,waypoint,8,1024,ok,0,0,0,1,0,1,3.5665,1.6243,0.6949,1.551,1.0686,6.3101,4.5332,0,0,20370,18.75,7.71
headon,waypoint,8,1111,ok,0,0,1,0,0,1,3.5665,0.7826,1.0963,1.551,1.0686,6.3101,4.5332,0,0,20370,7.48,7.73
headon,waypoint,8,1234,ok,0,0,0,0,2,2,3.5665,2.1864,0.0113,1.551,1.0686,6.3101,4.5332,0,0,20370,16.73,7.78
headon,waypoint,8,1337,ok,0,0,1,0,0,1,3.5665,0.0278,1.231,1.551,1.0686,6.3101,4.5332,0,0,20370,10.3,7.85
headon,waypoint,12,8,ok,0,0,0,1,3,4,3.5665,1.1627,0.2722,1.551,1.0686,6.3101,4.5332,0,0,20370,-81.73,8.28
headon,waypoint,12,11,ok,0,0,1,2,1,4,3.5665,0.212,0.2604,1.551,1.0686,6.3101,4.5332,0,0,20370,10.55,8.22
headon,waypoint,12,23,ok,0,0,0,0,0,0,3.5665,2.4568,1.2876,1.551,1.0686,6.3101,4.5332,0,0,20370,,8.29
headon,waypoint,12,42,ok,0,0,0,2,0,2,3.5665,2.6111,0.1208,1.551,1.0686,6.3101,4.5332,0,0,20370,-83.54,8.17
headon,waypoint,12,77,ok,0,1,0,2,1,4,3.5665,0.9997,0.3936,1.551,1.0686,6.3101,4.5332,0,0,20370,-51.17,8.24
headon,waypoint,12,101,ok,0,0,1,3,0,4,3.5665,0.7561,0.0148,1.551,1.0686,6.3101,4.5332,0,0,20370,-27.34,8.13
headon,waypoint,12,144,ok,0,0,1,1,0,2,3.5665,0.649,0.2322,1.551,1.0686,6.3101,4.5332,0,0,20370,-74.68,8.19
headon,waypoint,12,200,ok,0,0,0,0,0,0,3.5665,1.2161,1.019,1.551,1.0686,6.3101,4.5332,0,0,20370,,8.2
headon,waypoint,12,256,ok,0,0,1,1,2,4,3.5665,0.9073,0.4299,1.551,1.0686,6.3101,4.5332,0,0,20370,-93.95,8.26
headon,waypoint,12,314,ok,0,0,0,1,0,1,3.5665,1.1023,0.7623,1.551,1.0686,6.3101,4.5332,0,0,20370,-74.21,8.22
headon,waypoint,12,400,ok,0,0,1,2,1,4,3.5665,0.2457,0.7285,1.551,1.0686,6.3101,4.5332,0,0,20370,13.4,8.15
headon,waypoint,12,512,ok,0,0,1,1,1,3,3.5665,0.4045,0.6832,1.551,1.0686,6.3101,4.5332,0,0,20370,8.45,8.17
headon,waypoint,12,613,ok,0,0,1,0,1,2,3.5665,0.3506,0.5958,1.551,1.0686,6.3101,4.5332,0,0,20370,5.02,8.14
headon,waypoint,12,700,ok,0,0,3,2,1,6,3.5665,0.0206,0.0095,1.551,1.0686,6.3101,4.5332,0,0,20370,5.7,8.21
headon,waypoint,12,808,ok,0,0,0,2,0,2,3.5665,1.4786,0.2976,1.551,1.0686,6.3101,4.5332,0,0,20370,9.16,8.24
headon,waypoint,12,900,ok,0,1,0,0,2,3,3.5665,0.3767,0.5423,1.551,1.0686,6.3101,4.5332,0,0,20370,-43.42,8.28
headon,waypoint,12,1024,ok,0,0,1,2,0,3,3.5665,0.6852,0.2544,1.551,1.0686,6.3101,4.5332,0,0,20370,-11.51,8.29
headon,waypoint,12,1111,ok,0,0,1,2,3,6,3.5665,0.6125,0.3537,1.551,1.0686,6.3101,4.5332,0,0,20370,12.44,8.17
headon,waypoint,12,1234,ok,0,0,0,2,3,5,3.5665,2.9372,0.0095,1.551,1.0686,6.3101,4.5332,0,0,20370,0.91,8.14
headon,waypoint,12,1337,ok,0,0,0,2,0,2,3.5665,3.4309,0.6545,1.551,1.0686,6.3101,4.5332,0,0,20370,5.61,8.25
headon,vfield,1,8,ok,0,0,0,0,0,0,2.7258,3.495,19.3312,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.84
headon,vfield,1,11,ok,0,0,0,0,0,0,2.7258,3.4749,19.3119,1.3138,0.9996,6.2092,5.0072,0,0,20450,,8.14
headon,vfield,1,23,ok,0,0,0,0,0,0,2.7258,3.4598,19.3115,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.93
headon,vfield,1,42,ok,0,0,0,0,0,0,2.7258,3.5047,19.3268,1.3138,0.9996,6.2092,5.0072,0,0,20450,,8.06
headon,vfield,1,77,ok,0,0,0,0,0,0,2.7258,3.4559,19.3203,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.84
headon,vfield,1,101,ok,0,0,0,0,0,0,2.7258,3.4236,19.3232,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.77
headon,vfield,1,144,ok,0,0,0,0,0,0,2.7258,3.4505,19.3019,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.86
headon,vfield,1,200,ok,0,0,0,0,0,0,2.7258,3.4902,19.3203,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.72
headon,vfield,1,256,ok,0,0,0,0,0,0,2.7258,3.4688,19.3151,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.85
headon,vfield,1,314,ok,0,0,0,0,0,0,2.7258,3.4672,19.3261,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.77
headon,vfield,1,400,ok,0,0,0,0,0,0,2.7258,3.4984,19.3327,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.89
headon,vfield,1,512,ok,0,0,0,0,0,0,2.7258,3.4745,19.3247,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.74
headon,vfield,1,613,ok,0,0,0,0,0,0,2.7258,3.4544,19.3082,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.79
headon,vfield,1,700,ok,0,0,0,0,0,0,2.7258,3.454,19.2983,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.88
headon,vfield,1,808,ok,0,0,0,0,0,0,2.7258,3.4651,19.3191,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.74
headon,vfield,1,900,ok,0,0,0,0,0,0,2.7258,3.4679,19.3072,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.81
headon,vfield,1,1024,ok,0,0,0,0,0,0,2.7258,3.4818,19.3202,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.88
headon,vfield,1,1111,ok,0,0,0,0,0,0,2.7258,3.4277,19.2995,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.8
headon,vfield,1,1234,ok,0,0,0,0,0,0,2.7258,3.4874,19.3351,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.66
headon,vfield,1,1337,ok,0,0,0,0,0,0,2.7258,3.5281,19.3441,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.86
headon,vfield,2,8,ok,0,0,0,0,0,0,2.7258,3.4431,9.6802,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.86
headon,vfield,2,11,ok,0,0,0,0,0,0,2.7258,3.4441,8.1007,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.94
headon,vfield,2,23,ok,0,0,0,0,0,0,2.7258,3.4575,6.5066,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.78
