mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,8,1069,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.3722,10.107,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1071,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.108,6.67,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1073,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.9803,1.0641,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1075,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.839,4.0717,2.7258,2.0438,1.555,,8450,3.68
capacity,,,,holdout,8,1077,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.637,9.195,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1079,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.5385,6.3209,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1081,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.6638,6.196,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1083,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.6644,6.4545,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1085,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.946,10.6441,2.7258,2.0438,1.555,,8450,3.65
capacity,,,,holdout,8,1087,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.2152,5.9692,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1089,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,10.4853,8.6121,2.7258,2.0438,1.555,,8450,3.64
capacity,,,,holdout,8,1091,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,10.8356,1.312,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,8,1093,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.8755,3.8698,2.7258,2.0438,1.555,,8450,3.68
capacity,,,,holdout,8,1095,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,11.8544,6.4302,2.7258,2.0438,1.555,,8450,3.69
capacity,,,,holdout,8,1097,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.8419,10.1124,2.7258,2.0438,1.555,,8450,3.7
capacity,,,,holdout,8,1099,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.7972,6.844,2.7258,2.0438,1.555,,8450,3.66
capacity,,,,holdout,12,1001,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,8.2518,8.2966,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1003,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.688,12.2673,2.7258,2.0438,1.555,,8450,3.92
capacity,,,,holdout,12,1005,headon,vfield,f10d62c73d,ok,1,0,1,0,0,0,5.9263,0.4223,2.7258,2.0438,1.555,18.9,8450,3.9
capacity,,,,holdout,12,1007,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.068,8.3951,2.7258,2.0438,1.555,,8450,3.88
